iter	Passed	Remaining
0	154	154183
1	165	82416
2	176	58529
3	188	46935
4	199	39685
5	211	34963
6	221	31400
7	231	28659
8	240	26501
9	250	24821
10	260	23394
11	269	22168
12	279	21223
13	288	20347
14	298	19611
15	308	18981
16	318	18407
17	328	17947
18	338	17451
19	348	17067
20	357	16663
21	366	16279
22	375	15955
23	384	15628
24	394	15366
25	404	15137
26	415	14975
27	425	14758
28	434	14537
29	443	14350
30	452	14150
31	462	13984
32	471	13806
33	480	13664
34	490	13530
35	501	13437
36	512	13345
37	524	13278
38	535	13199
39	545	13094
40	556	13017
41	567	12952
42	578	12881
43	590	12835
44	604	12824
45	616	12784
46	627	12726
47	639	12682
48	651	12644
49	661	12577
50	673	12529
51	685	12495
52	695	12427
53	707	12385
54	719	12366
55	735	12390
56	749	12396
57	763	12399
58	776	12381
59	786	12329
60	799	12302
61	811	12276
62	822	12238
63	833	12189
64	844	12151
65	855	12102
66	865	12050
67	875	12004
68	888	11993
69	904	12015
70	917	12004
71	928	11961
72	941	11957
73	952	11913
74	962	11868
75	975	11857
76	988	11847
77	1000	11820
78	1014	11829
79	1030	11847
80	1044	11851
81	1059	11856
82	1073	11856
83	1089	11875
84	1102	11872
85	1115	11858
86	1127	11835
87	1140	11819
88	1150	11778
89	1162	11750
90	1174	11728
91	1185	11699
92	1196	11666
93	1207	11637
94	1218	11607
95	1229	11581
96	1241	11555
97	1252	11530
98	1263	11500
99	1275	11475
100	1287	11460
101	1297	11423
102	1309	11407
103	1321	11389
104	1332	11358
105	1343	11331
106	1354	11306
107	1364	11267
108	1375	11240
109	1385	11209
110	1393	11162
111	1404	11138
112	1417	11130
113	1429	11108
114	1440	11083
115	1450	11055
116	1459	11012
117	1470	10993
118	1484	10988
119	1495	10968
120	1508	10959
121	1522	10953
122	1534	10940
123	1544	10908
124	1555	10888
125	1565	10859
126	1575	10830
127	1586	10809
128	1596	10776
129	1606	10749
130	1617	10728
131	1626	10696
132	1637	10672
133	1646	10641
134	1658	10626
135	1670	10611
136	1682	10601
137	1692	10573
138	1703	10553
139	1714	10531
140	1724	10505
141	1734	10478
142	1744	10454
143	1754	10426
144	1764	10402
145	1774	10377
146	1785	10359
147	1796	10340
148	1808	10327
149	1818	10307
150	1829	10285
151	1839	10259
152	1850	10242
153	1860	10218
154	1870	10196
155	1881	10177
156	1891	10156
157	1901	10135
158	1913	10119
159	1922	10094
160	1933	10076
161	1944	10056
162	1955	10039
163	1965	10019
164	1977	10008
165	1989	9996
166	2000	9978
167	2011	9960
168	2020	9936
169	2031	9918
170	2041	9896
171	2050	9872
172	2061	9857
173	2072	9837
174	2082	9818
175	2093	9801
176	2103	9780
177	2112	9757
178	2122	9734
179	2132	9714
180	2142	9694
181	2153	9677
182	2163	9660
183	2174	9643
184	2184	9625
185	2194	9605
186	2206	9590
187	2218	9581
188	2229	9565
189	2238	9542
190	2247	9520
191	2257	9501
192	2267	9482
193	2276	9457
194	2285	9435
195	2294	9413
196	2303	9390
197	2312	9367
198	2320	9341
199	2330	9320
200	2338	9296
201	2348	9277
202	2356	9253
203	2365	9231
204	2374	9208
205	2383	9186
206	2393	9167
207	2402	9146
208	2411	9126
209	2420	9104
210	2429	9083
211	2437	9061
212	2446	9040
213	2455	9018
214	2464	8997
215	2473	8976
216	2481	8954
217	2491	8937
218	2500	8917
219	2510	8900
220	2519	8879
221	2528	8859
222	2536	8838
223	2546	8822
224	2557	8810
225	2566	8791
226	2577	8777
227	2587	8759
228	2598	8748
229	2609	8737
230	2620	8722
231	2631	8711
232	2641	8695
233	2651	8680
234	2662	8666
235	2672	8652
236	2682	8636
237	2693	8623
238	2703	8608
239	2713	8593
240	2725	8583
241	2734	8563
242	2743	8546
243	2752	8528
244	2761	8509
245	2771	8495
246	2780	8475
247	2789	8458
248	2798	8439
249	2809	8429
250	2821	8418
251	2831	8405
252	2843	8394
253	2856	8389
254	2867	8377
255	2877	8362
256	2890	8355
257	2902	8346
258	2913	8336
259	2925	8327
260	2937	8316
261	2946	8299
262	2956	8285
263	2966	8269
264	2975	8253
265	2990	8252
266	3003	8246
267	3016	8238
268	3026	8224
269	3038	8214
270	3050	8205
271	3061	8193
272	3072	8182
273	3084	8173
274	3096	8164
275	3106	8149
276	3117	8138
277	3131	8131
278	3141	8118
279	3152	8106
280	3164	8097
281	3175	8085
282	3186	8073
283	3197	8060
284	3208	8048
285	3219	8036
286	3230	8024
287	3239	8009
288	3251	7998
289	3261	7984
290	3271	7971
291	3282	7959
292	3293	7946
293	3302	7930
294	3311	7914
295	3321	7898
296	3329	7881
297	3338	7865
298	3349	7852
299	3362	7845
300	3374	7835
301	3385	7825
302	3395	7811
303	3404	7794
304	3412	7776
305	3421	7759
306	3430	7743
307	3440	7730
308	3449	7713
309	3458	7697
310	3466	7679
311	3474	7662
312	3483	7645
313	3492	7629
314	3501	7614
315	3512	7603
316	3523	7592
317	3534	7580
318	3543	7565
319	3553	7551
320	3562	7535
321	3570	7519
322	3579	7502
323	3588	7486
324	3596	7469
325	3604	7453
326	3613	7436
327	3622	7420
328	3630	7404
329	3642	7396
330	3654	7386
331	3665	7375
332	3675	7362
333	3686	7350
334	3695	7336
335	3705	7322
336	3714	7307
337	3724	7293
338	3733	7279
339	3741	7263
